"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "251", "ReadersWriters.java:27", "Line Step", "file=ReadersWriters.java, line=27"
"Thread-1", "252", "SYSTEM", "Thread Start", "Thread-1 (50)"
"Thread-1", "253", "ReadersWriters.java:138", "Method Call", "caller=SYSTEM, target=Reader:2#run:2"
"Thread-1", "254", "ReadersWriters.java:136", "Method Entered", ""
"Thread-0", "255", "ReadersWriters.java:136", "Variable Write", "context=Reader:1#run:1, i=0"
"Thread-0", "256", "ReadersWriters.java:139", "Line Step", "file=ReadersWriters.java, line=139"
"Thread-5", "257", "ReadersWriters.java:158", "Method Call", "caller=Writer:1#run:1, target=Database:1#request_write:1"
"Thread-5", "258", "ReadersWriters.java:83", "Method Entered", ""
"Thread-5", "259", "ReadersWriters.java:85", "Line Step", "file=ReadersWriters.java, line=85"
"Thread-6", "260", "ReadersWriters.java:158", "Method Call", "caller=Writer:2#run:2, target=Database:1#request_write:2"
"Thread-6", "261", "ReadersWriters.java:83", "Method Entered", ""
"Thread-6", "262", "ReadersWriters.java:85", "Line Step", "file=ReadersWriters.java, line=85"
"main", "263", "ReadersWriters.java:28", "Line Step", "file=ReadersWriters.java, line=28"
"Thread-2", "264", "SYSTEM", "Thread Start", "Thread-2 (51)"
"Thread-2", "265", "ReadersWriters.java:138", "Method Call", "caller=SYSTEM, target=Reader:3#run:3"
"Thread-2", "266", "ReadersWriters.java:136", "Method Entered", ""
"Thread-1", "267", "ReadersWriters.java:136", "Variable Write", "context=Reader:2#run:2, i=0"
"Thread-1", "268", "ReadersWriters.java:139", "Line Step", "file=ReadersWriters.java, line=139"
"Thread-0", "269", "ReadersWriters.java:139", "Field Read", "context=Reader:1, d"
"Thread-5", "270", "ReadersWriters.java:85", "Field Read", "context=Database:1, s1"
"Thread-6", "271", "ReadersWriters.java:85", "Field Read", "context=Database:1, s1"
"main", "272", "ReadersWriters.java:29", "Line Step", "file=ReadersWriters.java, line=29"
"Thread-3", "273", "SYSTEM", "Thread Start", "Thread-3 (52)"
"Thread-3", "274", "ReadersWriters.java:138", "Method Call", "caller=SYSTEM, target=Reader:4#run:4"
"Thread-3", "275", "ReadersWriters.java:136", "Method Entered", ""
"Thread-2", "276", "ReadersWriters.java:136", "Variable Write", "context=Reader:3#run:3, i=0"
"Thread-2", "277", "ReadersWriters.java:139", "Line Step", "file=ReadersWriters.java, line=139"
"Thread-1", "278", "ReadersWriters.java:139", "Field Read", "context=Reader:2, d"
"Thread-0", "279", "ReadersWriters.java:139", "Method Call", "caller=Reader:1#run:1, target=Database:1#request_read:1"
"Thread-0", "280", "ReadersWriters.java:48", "Method Entered", ""
"Thread-0", "281", "ReadersWriters.java:50", "Line Step", "file=ReadersWriters.java, line=50"
"Thread-5", "282", "ReadersWriters.java:86", "Line Step", "file=ReadersWriters.java, line=86"
"main", "283", "ReadersWriters.java:30", "Line Step", "file=ReadersWriters.java, line=30"
"Thread-4", "284", "SYSTEM", "Thread Start", "Thread-4 (53)"
"Thread-4", "285", "ReadersWriters.java:138", "Method Call", "caller=SYSTEM, target=Reader:5#run:5"
